投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL车体生锈希望厂家免费处理,车身附件及电器,车身生锈,
长安福特,金牛座,2017款 EcoBoost 325 V6旗舰型,长安福特金牛座发动机油底壳漏油无法解决,发动机,漏油,
长城汽车,欧拉黑猫,2019款 亲子版 351km,欧拉黑猫车窗异响多次维修4S店未解决,车身附件及电器,门窗异响,
长安凯程,长安睿行M80,2019款 1.5L 基本型 2座 非空调 国VI 平顶 背掀门 DAM15KR,长安睿行M80行驶时打方向有异响出现,转向系统,异响,
一汽-大众,宝来,2021款 1.5L 自动 精英智联版,一汽大众宝来转向柱异响要求解决,转向系统,异响,
奥迪（进口）,奥迪S7,2020款 2.9 TFSI quattro,奥迪S7刹车片异常磨损 4S店不给予索赔,制动系统,异常磨损,服务态度
东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408两前减震器漏油 望4S店给予保修,前后桥及悬挂系统,减震器漏油,
江淮汽车,江淮iEV,2015款 纯电动 iEV5,江淮iEV刹车失灵踏板变硬要求解决,制动系统,刹车失灵,刹车变硬
长安汽车,长安UNI-T,2021款 1.5T 卓越型,长安UNI-T正面碰撞防撞梁弯曲气囊未弹出,车身附件及电器,气囊未弹开,
奇瑞汽车,瑞虎5x,2017款 1.5T 自动 精英型,奇瑞瑞虎5x换挡顿挫油箱异响打方向沉重,变速器,顿挫,打方向沉重
一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉低速时变速箱顿挫严重,变速器,顿挫,
上汽通用五菱,宝骏360,2018款 1.5L 手动 精英型 国V,宝骏360锦湖轮胎破损漏钢丝 4S店不给予保修,轮胎,开裂,
广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌受到撞击气囊未弹出,车身附件及电器,气囊未弹开,
上汽大众斯柯达,速派,2016款 TSI330 DSG 智行版,斯柯达速派车内严重异味影响身体健康,车身附件及电器,车内异味,
广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞中控仪表台开裂存在安全隐患,车身附件及电器,仪表台开裂,
长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180舒适型,长安福特蒙迪欧发动机节气门积存大量机油,发动机,漏油,
上汽大众,途安,2015款 1.4T 手动 舒适版 5座,上汽大众途安空调系统存在异味一直未解决,车身附件及电器,空调异味,
奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5车身生锈 后备箱漏水希望处理,车身附件及电器,车身生锈,车身漏水
一汽-大众奥迪,奥迪A6L,2018款 TFSI 双离合 进取型,一汽大众奥迪A6L车顶和机盖油漆脱落,车身附件及电器,漆面起泡开裂,
广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国V,本田雅阁保修变速箱总成后要求厂家给予延保,变速器,故障灯亮,服务收费
奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领潮版,奇瑞艾瑞泽5打方向异响抖动要求解决,转向系统,异响,抖动
长安马自达,马自达CX-30,2020款 2.0L 自动 尚悦型,长安马自达CX-30发动机壳体生锈中控台生锈,车身附件及电器,车身生锈,
上汽大众斯柯达,昊锐,2009款 2.0TSI 自动 尊雅版,斯柯达昊锐车内异味希望厂家处理问题,车身附件及电器,车内异味,
江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国V,江铃福特领界飞鱼系统联网信号弱无法操作,车身附件及电器,影音系统故障,车载互联故障
吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL买新车时没有配备备用钥匙,,服务流程不完善,
长安汽车,长安CS35,2015款 1.6L 手动 豪华型 国IV,长安CS35高速行驶修正方向出现卡顿,转向系统,卡滞,转向机故障
华晨宝马,宝马X1,2020款 xDrive25Li 尊享型,华晨宝马X1怠速高引起车辆低频共振严重抖动,发动机,怠速不稳,车身共振
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
上汽通用五菱,五菱凯捷,2020款 1.5T 自动 旗舰型,上汽通用五菱凯捷车身抖动承诺退车未兑现,车身附件及电器,车身共振,承诺不兑现
东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 后桥异响严重,发动机,烧机油,前后桥异响
奇瑞汽车,瑞虎5x,2019款 HERO 1.5L 手动 时尚版,奇瑞瑞虎5X手动变速箱挂挡时偶尔卡滞,变速器,无法换挡,
长城汽车,炮,2019款 2.0T 商用版 手动 四驱 精英型 长箱 GW4C20B 汽油,长城炮发动机抖动有异响希望厂家处理问题,发动机,异响,抖动
东风本田,本田CR-V,2021款 240TURBO CVT 两驱 黑爵士版,东风本田CR-V踩油门踏板有异响希望厂家处理,发动机,异响,
上汽大众斯柯达,昕锐,2018款 1.6L 手动 舒适版,斯柯达昕锐变速箱异响店内维修技术差无配件,变速器,异响,服务态度
江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能尊享版,江淮瑞风S3轮胎吃胎偏磨4S店不予保修,前后桥及悬挂系统,吃胎偏磨,服务态度
东风日产,启辰T70,2018款 2.0L CVT 睿享版,启辰T70转向机卡顿有虚位转向沉重,转向系统,卡滞,打方向沉重
一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i豪华版,一汽丰田卡罗拉行驶时变速箱顿挫有异响,变速器,异响,顿挫
东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油要求厂家解决,发动机,烧机油,
上汽通用五菱,五菱宏光S3,2018款 1.5L 手动 标准型 国V,五菱宏光S3前大灯更换之后再次进水,车身附件及电器,车灯进水,
长安福特,探险者,2020款 EcoBoost 285 后驱 风尚版 7座,长安福特探险者下支臂胶套漏油严重,前后桥及悬挂系统,减震器漏油,下摆臂故障
一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 技术型,一汽大众奥迪Q5天窗异响多次维修无果,车身附件及电器,天窗异响,
斯巴鲁,森林人,2012款 2.5XS 自动 豪华版,斯巴鲁森林人烧机油4S店拒绝更换中缸,发动机,烧机油,
吉利汽车,远景S1,2018款 1.5L CVT 锋享型,吉利远景S1经销商丢失登记证 不贴回防爆膜,,承诺不兑现,服务流程不完善
一汽丰田,卡罗拉,2017款 1.2T S-CVT GL 改款,一汽丰田卡罗拉4S店更换三元催化无型号标识,,配件争议,
陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7油耗高动力不足多次维修未解决,发动机,功率不足,油耗高
一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L中控异响类似电流声,车身附件及电器,中控台异响,
奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8座椅靠背不整齐希望厂家处理问题,车身附件及电器,座椅故障,
凌扬牌,华凌汉马,重型普通货车,凌扬华凌汉马尾气排放系统不达标故障灯亮,发动机,故障灯亮,排气故障
上汽大众,途昂X,2020款 改款 380TSI 四驱 尊崇豪华版,上汽大众途昂X按键磨损 音响杂音 胶条脱落,车身附件及电器,影音系统故障,车身装饰脱落
一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放发动机舱进泥沙 车身异响,车身附件及电器,车身异响,其他
北京奔驰,奔驰A级,2019款 A 200 L 运动轿车,北京奔驰A级倒车时有异响厂家无解决方案,制动系统,异响,
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8音响无声音售后未解决问题,车身附件及电器,影音系统故障,
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y低频共振影响身体健康,车身附件及电器,车身共振,
长安汽车,欧力威,2013款 1.4 手动 劲悦型,长安欧尚欧力威转向抱死维修无配件,转向系统,失灵,配件争议
东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408后桥异响希望厂家处理问题,前后桥及悬挂系统,前后桥异响,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 豪华版 国VI,斯柯达柯迪亚克GT颗粒捕捉器频繁堵塞,发动机,排气故障,
东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408电池管理模块故障要求免费维修,车身附件及电器,电瓶故障,
东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱报故障码P0776,变速器,无法加速,滑阀箱故障
东风标致,标致207,2011款 1.4 手动 驭乐版 两厢,东风标致207后桥磨损要求厂家召回,前后桥及悬挂系统,前后桥异响,
陆风汽车,陆风X7,2018款 1.5T 铂金版 劲越,陆风X7右前车灯不亮厂家一直未解决,车身附件及电器,车灯不亮,
一汽-大众,宝来,2018款 1.5L 自动 舒适型,一汽大众宝来发动机燃油管路漏汽油,发动机,漏油,
东风雪铁龙,雪铁龙C4L,2014款 1.8L 手动 智驱版 劲享型,东风雪铁龙C4L方向盘晃动希望厂家处理,转向系统,转向机故障,方向盘自由间隙过大
一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱风尚版,一汽丰田RAV4荣放半轴防尘套漏油严重,前后桥及悬挂系统,半轴渗油,
长城汽车,哈弗H2,2014款 1.5T 手动 两驱精英版 5座,哈弗H2离合器油泵漏油严重要求解决,离合器,漏油,
北京越野,北京BJ40,2019款 2.3T 自动 四驱 环塔冠军版 国VI,北京BJ40高速行驶时变速箱顿挫严重,变速器,顿挫,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L前大灯存在流胶现象,车身附件及电器,车灯进水,
沃尔沃亚太,沃尔沃S90,2019款 T5 智逸版,"亚太沃尔沃S90行驶及怠速时低频噪音大共振	",车身附件及电器,车身共振,
北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜车辆多处出现故障要求延保,,配件争议,
一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚PLUS版,一汽丰田RAV4荣放铭牌破损 A柱饰板开裂,车身附件及电器,部件开裂,座椅故障
SWM斯威汽车,SWM斯威G05,2019款 2.0L 手动 豪华型,斯威G05车身生锈 厂家一直不解决,车身附件及电器,车身生锈,
一汽吉林,森雅R7,2017款 1.6L 手动 舒适型,一汽吉林森雅R7发动机气门室盖垫漏油生锈,发动机,漏油,缸体生锈
东风风行,菱智,2017款 2.0L 舒适型 7座 M3L,东风风行菱智发动机烧机油4S店不予保修,发动机,烧机油,
华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,华晨宝马3系发动机烧机油刹车片磨损严重,发动机,烧机油,异常磨损
