,投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
0,582852,华晨宝马,宝马3系,2020款 330Li xDrive M运动曜夜套装,华晨宝马3系漏防冻液 刹车泵故障4S店不解决,"A37,E47,E196,H68,I295,",2021-03-25,处理反馈
1,582849,北汽新能源,EV系列,2014款 E150 EV 时尚版,北汽新能源EV系列行驶时突然断电没有动力,"H110,H343,",2021-03-25,用户评分
2,582847,汉腾汽车,汉腾X5,2018款 1.5L 手动 精英版,汉腾X5空调无暖风温度开关异响 4S店无配件,"H101,N318,",2021-03-25,厂家受理
3,582845,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁中控屏幕黑屏死机无法使用,"A12,H134,",2021-03-25,处理反馈
4,582844,广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞仪表台出油要求解决,"H176,",2021-03-25,处理反馈
5,582841,长安汽车,长安欧尚科赛,2020款 GT 2.0T 自动 时尚智联型 7座,长安欧尚科赛电瓶亏电严重要求尽快解决,"H146,",2021-03-25,用户评分
6,582840,东风本田,INSPIRE,2019款 锐·混动 2.0L 净雅版 国V,东风本田INSPIRE发动机渗油要求延保,"A12,",2021-03-25,用户评分
7,582838,江铃汽车,驭胜S350,2014款柴油天窗4驱,江铃驭胜S350车身多处出现严重生锈,"H79,",2021-03-25,信息审核
8,582837,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田YARiS L 致享方向盘转向异响,"D59,",2021-03-25,处理反馈
9,582836,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内厂家未提供索赔服务,"I297,",2021-03-25,信息审核
10,582835,一汽丰田,卡罗拉,2021款 1.2T S-CVT 豪华版,一汽丰田卡罗拉底盘生锈4S店不予解决,"H79,",2021-03-25,信息审核
11,582834,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7发动机烧机油严重一直不解决,"A63,",2021-03-25,用户评分
12,582833,吉利汽车,远景X3,2017款 1.5L 手动 尊贵型,吉利远景X3离合器打滑导致无法正常行驶,"C16,",2021-03-25,处理反馈
13,582831,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6远程控制与宣传不符要求解决,"M279,",2021-03-25,厂家受理
14,582823,长安福特,嘉年华,2013款 1.5 DCT 时尚型 两厢,长安福特嘉年华变速箱顿挫挂挡不顺畅,"B19,B20,B77,",2021-03-25,处理反馈
15,582822,北京奔驰,奔驰E级,2021款 E 300 L 运动时尚型,北京奔驰E级变速箱顿挫跳挡影响安全,"B19,B27,",2021-03-25,信息审核
16,582821,一汽-大众奥迪,奥迪Q3,2016款 35 TFSI 时尚型,一汽大众奥迪Q3变速箱故障行驶中失速,"B334,",2021-03-25,信息审核
17,582819,一汽-大众奥迪,奥迪A4L,2017款 2.0T 双离合 运动型 Plus,一汽大众奥迪A4L节温器处出现漏防冻液的现象,"A37,",2021-03-25,信息审核
18,582817,宝马,摩托,C400X,宝马摩托车辆行驶时动力下降底盘有漏油痕迹,"A12,A163,",2021-03-25,信息审核
19,582816,BEIJING汽车,绅宝X35,2016款 1.5L 手动 豪华版,BEIJING绅宝X35经销商续保押金不予退还,"K309,",2021-03-25,处理反馈
20,582811,东风小康,风光370,2016款 1.5L 精英居家版 7座,东风风光370车身生锈希望厂家处理,"H79,",2021-03-25,处理反馈
21,582807,一汽-大众,高尔夫,2018款 280TSI 自动 R-Line型,一汽大众高尔夫经销商收取解押手续费,"K307,K308,",2021-03-25,处理反馈
22,582802,东风本田,INSPIRE,2019款 260TURBO 精致版 国VI,东风本田INSPIRE前车门异响维修未解决问题,"H72,",2021-03-25,处理反馈
23,582793,一汽奔腾,奔腾T77,2019款 230 TID 自动 豪华型 国V,一汽奔腾T77车内异响维修后未解决 中控失灵,"H134,H164,",2021-03-25,处理反馈
24,582792,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 豪华优享版 7座 改款,斯柯达柯迪亚克发动机水泵异响更换后未解决,"A9,",2021-03-25,处理反馈
25,582791,东风乘用车,奕炫,2020款 230T 自动 炫目赛道版,东风风神奕炫发动机渗油抖动严重,"A9,A24,",2021-03-25,厂家受理
26,582790,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞底盘生锈后车门生锈 螺丝生锈,"H79,",2021-03-25,处理反馈
27,582783,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越行驶过程中发动机舱内有异响,"A9,",2021-03-25,处理反馈
28,582780,广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 7座,广汽三菱欧蓝德发动机启动困难 变速箱拖挡,"A44,B95,B69,",2021-03-25,厂家受理
29,582778,四川现代,致道,轻型自卸车,四川现代致道打方向沉重助力泵故障,"D156,D112,",2021-03-25,信息审核
