,投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
0,585299,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL行驶过程中底盘异响希望厂家处理,"G56,",2021-04-02,信息审核
1,585288,沃尔沃亚太,沃尔沃XC60,2020款 T5 四驱 智逸豪华版,亚太沃尔沃XC60怠速时车身低频共振,"H268,",2021-04-02,信息审核
2,585284,广汽菲克Jeep,大指挥官,2020款 2.0T 四驱 夜鹰版,广汽菲克Jeep大指挥官油门踏板抖动车身共振,"H268,",2021-04-02,信息审核
3,585283,奇瑞汽车,艾瑞泽7,2013款 1.6L 手动 致领版,奇瑞艾瑞泽7右前车门有严重生锈的现象,"H79,",2021-04-02,信息审核
4,585282,上汽大众斯柯达,柯迪亚克GT,2019款 TSI330 两驱 舒适版 国VI,斯柯达柯迪亚克GT两后轮胎出现吃胎偏磨,"G245,I297,",2021-04-02,信息审核
5,585281,广汽丰田,汉兰达,2017款 2.0T 四驱 炫黑限量版,广汽丰田汉兰达发动机拉缸导致异响,"A9,A329,",2021-04-02,信息审核
6,585277,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉低速行驶变速箱顿挫异响,"B33,B19,",2021-04-02,信息审核
7,585276,江铃集团新能源,易至EV3,2019款 酷跑版,江铃新能源易至EV3变速箱无法挂挡,"B20,",2021-04-02,信息审核
8,585273,东风悦达起亚,起亚K3,2021款 1.5L CVT 时尚版,东风悦达起亚K3汽油泵异响希望厂家处理,"H78,",2021-04-02,信息审核
9,585270,东风小康,东风小康D51,2019款 1.5L 基本型 后双轮 DK15,东风小康D51行驶中方向跑偏存在质量问题,"G117,",2021-04-02,用户评分
10,585269,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 精英型 蓝标,哈弗H2百度carlife功能无法升级连接,"H155,",2021-04-02,厂家受理
11,585266,宝马（进口）,宝马2系多功能旅行车,2019款 220i 领先型,进口宝马2系多功能旅行车涡轮增压器异响,"A189,",2021-04-02,用户评分
12,585264,东风本田,本田CR-V,2021款 240TURBO CVT 四驱 豪华版,东风本田CR-V开启空调时空调膨胀阀有异响,"H101,",2021-04-02,厂家受理
13,585262,奇瑞汽车,艾瑞泽GX,2019款 冠军版 1.5L 手动 时尚型,奇瑞艾瑞泽GX日间行车灯闪烁仪表盘灯闪烁,"H64,J298,J301,",2021-04-02,厂家受理
14,585261,长安汽车,长安欧尚科赛,2020款 GT 2.0T 自动 时尚智联型 7座,长安欧尚科赛动力电池无法充满耗电快,"H343,H340,",2021-04-02,信息审核
15,585260,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉座椅皮面有褶皱的现象,"H169,",2021-04-02,厂家受理
16,585258,东风日产,逍客,2021款 2.0L CVT 智享版,东风日产逍客新车出现发动机异响,"A9,",2021-04-02,信息审核
17,585257,江铃福特,全顺,2017款 2.0T 多功能商用车 短轴 低顶 国V 柴油,江铃福特全顺变速箱出现异响要求更换变速箱,"B33,",2021-04-02,信息审核
18,585255,江淮汽车,瑞风S3,2015款 1.5L 手动 豪华智能尊享版,江淮瑞风S3离合器抖动希望厂家予以保修,"C87,I297,I282,J301,",2021-04-02,处理反馈
19,585254,上汽大众,凌渡,2018款 280TSI 手动 舒适版,上汽大众凌渡仪表台开裂售后无配件更换,"H176,",2021-04-02,信息审核
20,585252,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS经销商销售承诺不兑现 配件质量差,"L313,N317,",2021-04-02,厂家受理
